,TIMESTAMP,INSTRUMENT,SYMBOL,OPEN,HIGH,LOW,CLOSE,COI,PCR
49,24-NOV-2020,FUTSTK,GODREJCP,709.5,714.3,704.25,708.7,4242000,0.2897881418692347
50,24-NOV-2020,FUTSTK,GODREJPROP,1095.35,1139.0,1079.55,1121.5,1535950,0.6319436005026703
51,24-NOV-2020,FUTSTK,GRASIM,855.2,865.0,848.8,853.75,19637450,0.6732489150062222
52,24-NOV-2020,FUTSTK,HAVELLS,828.1,831.9,820.8,823.7,5355000,1.0371401281428674
53,24-NOV-2020,FUTSTK,HCLTECH,843.95,857.9,836.75,842.1,20881000,0.4514310181074515
54,24-NOV-2020,FUTSTK,HDFC,2275.0,2275.0,2216.65,2224.55,27330300,0.599112877830899
55,24-NOV-2020,FUTSTK,HDFCBANK,1406.9,1442.3,1403.2,1435.2,35629000,0.9854500418242996
56,24-NOV-2020,FUTSTK,HDFCLIFE,664.95,666.9,651.5,665.25,11061600,0.5569425985653309
57,24-NOV-2020,FUTSTK,HEROMOTOCO,3040.3,3106.75,3039.5,3062.75,3211200,0.4306745949900117
58,24-NOV-2020,FUTSTK,HINDALCO,220.0,227.0,218.5,225.75,35066500,0.952509187769025
59,24-NOV-2020,FUTSTK,HINDPETRO,216.05,216.7,213.55,214.95,30844800,0.9747926930130073
60,24-NOV-2020,FUTSTK,HINDUNILVR,2134.7,2162.1,2124.25,2158.45,6266400,0.5008333330025668
61,24-NOV-2020,FUTSTK,IBULHSGFIN,178.15,184.0,176.0,181.2,15115600,0.5748935381065836
62,24-NOV-2020,FUTSTK,ICICIBANK,474.2,480.9,471.9,479.5,120843250,0.7501751654028462
63,24-NOV-2020,FUTSTK,ICICIGI,1359.85,1386.55,1350.0,1374.5,550800,0.22304637615240627
64,24-NOV-2020,FUTSTK,ICICIPRULI,456.0,457.3,446.4,450.2,7687500,0.6758844573123471
65,24-NOV-2020,FUTSTK,IDEA,10.6,10.75,10.15,10.3,528430000,0.4787878753334208
